id,business_name,category,phone,email,website,address,rating,reviews,maps_link,opening_hours,source_query,scraped_at
1,CRAVE KENYA - KILIMANI,Mkahawa,0756600600,,http://www.cravekenya.com/,"Ring Rd Kilimani, Nairobi",4.8,4,https://www.google.com/maps/place/CRAVE+KENYA+-+KILIMANI/data=!4m7!3m6!1s0x182f1167d2a363f7:0x46d5548b336ee96d!8m2!3d-1.2935272!4d36.787241!16s%2Fg%2F11vk4jzg9s!19sChIJ92Oj0mcRLxgRbeluM4tU1UY?authuser=0&hl=sw&rclk=1,Jumanne 6 AM–1 AM  Jumatano 6 AM–1 AM  Alhamisi 6 AM–1 AM  Ijumaa 6 AM–1 AM  Jumamosi 6 AM–1 AM  Jumapili 6 AM–1 AM  Jumatatu 6 AM–1 AM ,restauranta in Nairobi,2026-03-10T21:47:15.734240
2,Mawimbi Seafood Restaurant,Mkahawa wa vyakula vya baharini,0758956805,info@mawimbirestaurant.com,http://www.mawimbirestaurant.com/,"Longonot Place, Kijabe St, Nairobi",4.6,4,https://www.google.com/maps/place/Mawimbi+Seafood+Restaurant/data=!4m7!3m6!1s0x182f17d3f2c3b219:0x63fbb26b4a1e030f!8m2!3d-1.2774424!4d36.8154354!16s%2Fg%2F11j0167l8y!19sChIJGbLD8tMXLxgRDwMeSmuy-2M?authuser=0&hl=sw&rclk=1,Jumanne 11 AM–3 AM  Jumatano 11 AM–3 AM  Alhamisi 11 AM–3 AM  Ijumaa 11 AM–3 AM  Jumamosi 11 AM–3 AM  Jumapili 11 AM–3 AM  Jumatatu 11 AM–3 AM ,restauranta in Nairobi,2026-03-10T21:47:15.746009
3,Sayari All Day Dining,Mkahawa,0709374374,website@prideinn.co.ke,https://www.prideinn.co.ke/hotels-in-nairobi/prideinn-westlands/dining/,"Westlands Rd, Nairobi",4.5,4,https://www.google.com/maps/place/Sayari+All+Day+Dining/data=!4m7!3m6!1s0x182f1749e0dd40d9:0x8e3659a405f945e0!8m2!3d-1.266677!4d36.805837!16s%2Fg%2F11ldh3gp0l!19sChIJ2UDd4EkXLxgR4EX5BaRZNo4?authuser=0&hl=sw&rclk=1,Jumatano Open 24 hours  Alhamisi Open 24 hours  Ijumaa Open 24 hours  Jumamosi Open 24 hours  Jumapili Open 24 hours  Jumatatu Open 24 hours  Jumanne Open 24 hours ,restauranta in Nairobi,2026-03-10T21:47:15.750548
4,About Thyme Restaurant,Mkahawa,0721850026,hello@about-thyme.com,http://about-thyme.com/,"Eldama Ravine Rd, Nairobi",4.4,4,https://www.google.com/maps/place/About+Thyme+Restaurant/data=!4m7!3m6!1s0x182f177356c68b79:0x13efc8ff58a57a41!8m2!3d-1.25243!4d36.803014!16s%2Fg%2F1tdv9zkw!19sChIJeYvGVnMXLxgRQXqlWP_I7xM?authuser=0&hl=sw&rclk=1,Jumatano 12–10 PM  Alhamisi 12–10 PM  Ijumaa 12–10 PM  Jumamosi 10 AM–10 PM  Jumapili 10 AM–6 PM  Jumatatu Closed  Jumanne 12–10 PM ,restauranta in Nairobi,2026-03-10T21:47:15.755428
5,Nairobi Street Kitchen,Mkahawa,0707800800,,http://www.nairobistreetkitchen.com/,"1870 Mpaka Rd, Nairobi",4.5,4,https://www.google.com/maps/place/Nairobi+Street+Kitchen/data=!4m7!3m6!1s0x182f174dab6552b7:0xd1514d93c89b4afc!8m2!3d-1.2655732!4d36.8042136!16s%2Fg%2F11lqmcsqz0!19sChIJt1Jlq00XLxgR_EqbyJNNUdE?authuser=0&hl=sw&rclk=1,Jumatano 8 AM–11 PM  Alhamisi 8 AM–5 AM  Ijumaa 8 AM–3 AM  Jumamosi 8 AM–5 AM  Jumapili 8 AM–11 PM  Jumatatu 8 AM–10 PM  Jumanne 8 AM–11 PM ,restauranta in Nairobi,2026-03-10T21:47:15.760527
6,Talisman,Mkahawa,0705999997,reservations@thetalismanrestaurant.com,http://www.thetalismanrestaurant.com/,"Ngong Rd, Nairobi",4.6,4,https://www.google.com/maps/place/Talisman/data=!4m7!3m6!1s0x182f1b64419ee2af:0x65ce37d7f19949bf!8m2!3d-1.3230047!4d36.7038078!16s%2Fg%2F11b6hqzsvl!19sChIJr-KeQWQbLxgRv0mZ8dc3zmU?authuser=0&hl=sw&rclk=1,Jumatano 11 AM–10 PM  Alhamisi 11 AM–10 PM  Ijumaa 11 AM–10 PM  Jumamosi 9 AM–10 PM  Jumapili 9 AM–9 PM  Jumatatu Closed  Jumanne 11 AM–10 PM ,restauranta in Nairobi,2026-03-10T21:47:15.765505
7,Mama Oliech Restaurant,Mkahawa wa Kiafrika,0701707070,,,"Marcus Garvey Rd, North",4.2,4,https://www.google.com/maps/place/Mama+Oliech+Restaurant/data=!4m7!3m6!1s0x182f10a2e772f85b:0x5955c688f5b678b9!8m2!3d-1.2941!4d36.7912967!16s%2Fg%2F1tgv9czn!19sChIJW_hy56IQLxgRuXi29YjGVVk?authuser=0&hl=sw&rclk=1,Jumatano Open 24 hours  Alhamisi Open 24 hours  Ijumaa Open 24 hours  Jumamosi Open 24 hours  Jumapili Open 24 hours  Jumatatu Open 24 hours  Jumanne Open 24 hours ,restauranta in Nairobi,2026-03-10T21:47:15.770919
8,Pili Restaurant GTC MALL,Mkahawa wa familia,0799930222,info@pilirestaurant.co.ke,http://www.pilirestaurant.co.ke/,"PRH5+VCF, Nairobi",4.9,4,https://www.google.com/maps/place/Pili+Restaurant+GTC+MALL/data=!4m7!3m6!1s0x182f17b83439f16d:0x726083042010e432!8m2!3d-1.2702773!4d36.808505!16s%2Fg%2F11vj8pzn0s!19sChIJbfE5NLgXLxgRMuQQIASDYHI?authuser=0&hl=sw&rclk=1,,restauranta in Nairobi,2026-03-10T21:47:15.775914
9,The Carnivore Restaurant,Mkahawa,0722204647,,http://tamarind.co.ke/,"Langata Link Rd, Nairobi",4.5,4,https://www.google.com/maps/place/The+Carnivore+Restaurant/data=!4m7!3m6!1s0x182f1014fed387d9:0x2acb161c6235e675!8m2!3d-1.3291611!4d36.8005417!16s%2Fm%2F026rgnv!19sChIJ2YfT_hQQLxgRdeY1YhwWyyo?authuser=0&hl=sw&rclk=1,Jumatano 12–11 PM  Alhamisi 12–11 PM  Ijumaa 12–11 PM  Jumamosi 12–11 PM  Jumapili 12–11 PM  Jumatatu 12–11 PM  Jumanne 12–11 PM ,restauranta in Nairobi,2026-03-10T21:47:15.781231
10,Slate - Kitchen & Bar,Mkahawa,0745560272,,https://www.thefoodlibrary.co.ke/slate/,"Skynest Residences by CityBlue, Ground floor Mkungu Cl, Nairobi",4.3,4,https://www.google.com/maps/place/Slate+-+Kitchen+%26+Bar/data=!4m7!3m6!1s0x182f17db1fb861ff:0x520b668e5ff53f6a!8m2!3d-1.2616802!4d36.8045688!16s%2Fg%2F11ryf4dnv3!19sChIJ_2G4H9sXLxgRaj_1X45mC1I?authuser=0&hl=sw&rclk=1,,restauranta in Nairobi,2026-03-10T21:47:15.785762
